t_wall,scan_stamp_sec,odom_stamp_sec,camera_stamp_sec,goal_stamp_sec,goal_x,goal_y,camera_h,camera_w,velocity,goal_distance,goal_angle,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17
1774177486.529508,474.459000,474.547000,474.471000,1774177486.431223,2.000000,2.000000,480,640,0.200530,2.317665,0.905759,9.591751,9.591751,1.009792,0.981083,1.000662,1.203759,1.931106,3.046157,1.589939,3.173744,3.215825,1.357489,1.022551,9.591751,9.591751,0.200530,2.317665,0.905759
1774177486.629556,474.559000,474.647000,474.571000,1774177486.431223,2.000000,2.000000,480,640,0.200563,2.305486,0.921122,9.552537,9.552537,1.014488,0.983598,1.001603,1.199806,1.909216,3.124761,1.575844,3.183588,3.157380,1.437093,1.025452,9.552537,9.552537,0.200563,2.305486,0.921122
1774177486.729479,474.659000,474.747000,474.672000,1774177486.631351,2.000000,2.000000,480,640,0.200567,2.293553,0.936763,9.552406,9.552406,1.019193,0.986003,1.002421,1.195609,1.887031,3.211585,1.559369,3.194275,3.141919,1.521073,1.040390,9.552406,9.552406,0.200567,2.293553,0.936763
1774177486.829452,474.759000,474.847000,474.771000,1774177486.631351,2.000000,2.000000,480,640,0.200545,2.281873,0.952585,9.552665,9.552665,1.023827,0.988217,1.003125,1.191242,1.864861,3.306539,1.535148,3.205701,3.136769,1.609495,1.043893,9.552665,9.552665,0.200545,2.281873,0.952585
1774177486.929315,474.859000,474.947000,474.871000,1774177486.831227,2.000000,2.000000,480,640,0.200583,2.270449,0.968504,9.511610,9.511610,1.028493,0.990298,1.003723,1.186772,1.842972,3.409457,1.513192,3.217751,3.137186,1.702372,1.058917,9.511610,9.511610,0.200583,2.270449,0.968504
1774177487.029364,474.959000,475.047000,474.971000,1774177486.831227,2.000000,2.000000,480,640,0.200384,2.259286,0.984422,9.511693,9.511693,1.033022,0.992166,1.004224,1.182259,1.821586,5.224933,1.498164,1.579809,3.122896,1.799661,1.065227,9.511693,9.511693,0.200384,2.259286,0.984422
1774177487.129457,475.059000,475.147000,475.071000,1774177487.031189,2.000000,2.000000,480,640,0.011264,2.255968,0.960148,9.471070,9.471070,1.037416,0.993884,1.004629,1.177765,1.800927,5.205179,1.483185,1.543405,3.108981,1.901137,1.074919,9.471070,9.471070,0.011264,2.255968,0.960149
1774177487.229597,475.159000,475.247000,475.171000,1774177487.031189,2.000000,2.000000,480,640,0.001613,2.255953,0.913607,9.464882,1.271549,1.024435,0.990783,1.007085,1.200511,1.892806,3.206380,1.477915,3.190666,3.114056,1.748131,1.082066,9.464882,9.464882,0.001613,2.255953,0.913607
1774177487.329657,475.259000,475.347000,475.271000,1774177487.231529,2.000000,2.000000,480,640,0.001731,2.255972,0.867134,9.490694,1.220888,1.008336,0.986000,1.011831,1.235079,2.039170,2.767608,1.489469,3.127787,3.113626,1.569332,1.088162,9.490694,9.490694,0.001731,2.255972,0.867134
1774177487.429458,475.359000,475.447000,475.371000,1774177487.231529,2.000000,2.000000,480,640,0.001747,2.255990,0.820233,9.475884,1.176308,0.994619,0.981235,1.018931,1.275169,2.218317,2.440404,1.482213,3.117472,3.505308,1.426322,1.089221,9.475884,9.475884,0.001747,2.255991,0.820233
