t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,lidar_front_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_direction,reward_safe,reward_risk,reward_front_safe,reward_front_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1777061057.753249,1,23,0.980705,-0.141771,0.990353,-0.070886,4.322564,5.223602,12.801573,-0.284999,0.990839,-0.063772,3.644362,6.451653,0,0,0,,0.481603,0.000000,0.000000,0.100000,-0.081565,0.000000,-0.000000,-0.003189,0.000000,-0.000018,0.000000,5.211209,4.204123,3.663430,3.644362,3.859147,5.004323,9.449767,10.534535,5.817676,4.566227,4.355775,4.394140,5.116299,5.178281,5.078830
1777061057.912975,1,24,0.981206,-0.133221,0.990603,-0.066611,4.288419,5.378238,12.649456,-0.278830,0.991097,-0.059789,3.688680,6.472545,0,0,0,,0.486144,0.000000,0.000000,0.100000,-0.080606,0.000000,-0.000000,-0.002989,0.000000,-0.000045,0.000000,5.394500,4.285373,3.712765,3.688680,3.889791,5.008158,9.295007,10.714985,5.821661,4.537558,4.311454,4.342834,5.027115,5.388423,5.271745
1777061058.073020,1,25,0.981616,-0.125649,0.990808,-0.062825,4.255709,5.533223,12.497048,-0.273234,0.991308,-0.056263,3.709786,6.482565,0,0,0,,0.489967,0.000000,0.000000,0.100000,-0.080164,0.000000,-0.000000,-0.002813,0.000000,-0.000040,0.000000,5.486669,4.324814,3.736652,3.709786,3.904709,5.010571,9.225839,10.803870,5.823511,4.523841,4.290359,4.318528,4.985257,5.494037,5.368484
1777061058.223410,1,26,0.981815,-0.125651,0.990908,-0.062825,4.224364,5.688515,12.344384,-0.267868,0.991414,-0.056230,3.750688,6.502142,0,0,0,,0.493863,0.000000,0.000000,0.100000,-0.079299,0.000000,-0.000000,-0.002812,0.000000,-0.000001,0.000000,5.671908,4.401550,3.782956,3.750688,3.933693,5.015990,9.100472,10.980241,5.827188,4.497618,4.249453,4.272347,4.906316,5.706318,5.562231
1777061058.382758,1,27,0.982091,-0.120424,0.991045,-0.060212,4.196204,5.834363,12.201040,-0.263039,0.991556,-0.053782,3.770164,6.513345,0,0,0,,0.424557,0.000000,0.000000,0.100000,-0.078900,0.000000,-0.000000,-0.002689,0.000000,-0.000028,0.000000,5.764694,4.439086,3.805279,3.770164,3.947498,5.017994,9.039307,11.073469,5.830204,4.485421,4.229958,4.250309,4.868470,5.813239,5.659314
1777061058.543874,1,28,0.982223,-0.119753,0.991111,-0.059876,4.167430,5.990190,12.047925,-0.258061,0.991625,-0.053422,3.807642,6.535795,0,0,0,,0.372834,0.000000,0.000000,0.100000,-0.078129,0.000000,-0.000000,-0.002671,0.000000,-0.000004,0.000000,5.951030,4.512935,3.848967,3.807642,3.974058,5.022181,8.927164,11.260388,5.836567,4.462253,4.192265,4.208433,4.796893,6.028127,5.853800
1777061058.694514,1,29,0.982391,-0.113812,0.991196,-0.056906,4.139941,6.146261,11.894598,-0.253341,0.991713,-0.050633,3.843285,6.560211,0,0,0,,0.263581,0.000000,0.000000,0.100000,-0.077411,0.000000,-0.000000,-0.002532,0.000000,-0.000031,0.000000,6.138045,4.584885,3.891150,3.843285,3.999385,5.025558,8.820919,11.454826,5.844739,4.441049,4.156835,4.169247,4.729808,6.244688,6.048757
1777061058.853877,1,30,0.982495,-0.107291,0.991248,-0.053646,4.115279,6.292780,11.750682,-0.249361,0.991767,-0.047583,3.860344,6.571797,0,0,0,,0.087117,0.000000,0.000000,0.100000,-0.077073,0.000000,-0.000000,-0.002379,0.000000,-0.000033,0.000000,6.231979,4.619972,3.911391,3.860344,4.011622,5.027615,8.773405,11.549898,5.848520,4.430884,4.139709,4.150677,4.698293,6.353303,6.146341
1777061059.005162,1,31,0.982534,-0.106754,0.991267,-0.053377,4.090094,6.449258,11.597011,-0.245330,0.991789,-0.047291,3.892829,6.595050,0,0,0,,-0.029809,0.000000,0.000000,0.100000,-0.076432,0.000000,-0.000000,-0.002365,0.000000,-0.000003,0.000000,6.420455,4.687269,3.950381,3.892829,4.035111,5.031726,8.684913,11.740630,5.856409,4.411612,4.107127,4.115355,4.638530,6.571396,6.341648
1777061059.164012,1,32,0.982545,-0.101339,0.991273,-0.050670,4.067517,6.596121,11.452804,-0.241792,0.991797,-0.044754,3.908601,6.607311,0,0,0,,-0.194165,0.000000,0.000000,0.100000,-0.076124,0.000000,-0.000000,-0.002238,0.000000,-0.000027,0.000000,6.515855,4.720716,3.969568,3.908601,4.046520,5.033469,8.642429,11.838535,5.860941,4.402615,4.091489,4.098549,4.610032,6.571507,6.439612
1777061059.315241,1,33,0.982603,-0.098700,0.991301,-0.049350,4.044486,6.752937,11.298846,-0.238292,0.991829,-0.043497,3.938558,6.631157,0,0,0,,-0.298361,0.000000,0.000000,0.100000,-0.075548,0.000000,-0.000000,-0.002175,0.000000,-0.000013,0.000000,6.704445,4.784516,4.006050,3.938558,4.068248,5.037223,8.564749,11.881333,5.869779,4.385452,4.061444,4.066623,4.556182,6.454162,6.635292
1777061059.475200,1,34,0.982737,-0.094498,0.991368,-0.047249,4.023846,6.900097,11.154389,-0.235271,0.991898,-0.041522,3.952947,6.643394,0,0,0,,-0.414477,0.000000,0.000000,0.100000,-0.075278,0.000000,-0.000000,-0.002076,0.000000,-0.000022,0.000000,6.799442,4.815794,4.023794,3.952947,4.078828,5.038956,8.527293,11.784517,5.874547,4.377402,4.047164,4.051442,4.530561,6.398601,6.733326
