t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_safe,reward_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1774537239.557124,226,15,0.999906,-0.920884,0.999906,-1.841768,1.966868,1.338932,1.990350,-0.033384,0.975867,-1.849405,1000.000000,0,0,0,,1.144080,0.085534,0.000000,-0.000000,-0.092470,0.000000,-0.033843,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537239.736525,226,16,0.999792,0.148364,0.999792,0.296728,2.087209,1.468898,1.813234,-0.025286,0.991990,0.332261,1000.000000,0,0,0,,1.245371,0.088558,0.000000,-0.000000,-0.016613,0.000000,-0.021386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537239.917823,226,17,0.999178,0.025020,0.999178,0.050039,2.206238,1.603281,1.633821,-0.040433,0.996870,0.045876,1000.000000,0,0,0,,1.282083,0.089707,0.000000,-0.000000,-0.002294,0.000000,-0.002473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537240.107925,226,18,0.999857,-0.784288,0.999857,-1.568576,2.344323,1.727952,1.448381,0.231173,0.976879,-1.572884,1000.000000,0,0,0,,1.152458,0.092720,0.000000,-0.000000,-0.078644,0.000000,-0.016193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537240.288786,226,19,0.999746,0.392664,0.999746,0.785328,2.490170,1.827691,1.276520,0.193630,0.986663,0.791398,1000.000000,0,0,0,,1.192542,0.085930,0.000000,-0.000000,-0.039570,0.000000,-0.023540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537240.468321,226,20,0.999708,0.893450,0.999708,1.786901,2.612609,1.953395,1.101308,-0.101282,0.973682,1.810130,1000.000000,0,0,0,,1.165224,0.087606,0.000000,-0.000000,-0.090506,0.000000,-0.010016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537240.650090,226,21,0.999866,0.212052,0.999866,0.424104,2.705638,2.105370,0.925955,-0.235567,1.000251,0.390608,1000.000000,0,0,0,,1.221521,0.087676,0.000000,-0.000000,-0.019530,0.000000,-0.013630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537240.828879,226,22,0.999894,-0.411750,0.999894,-0.823499,2.800419,2.256082,0.751585,-0.154010,0.989411,-0.827910,1000.000000,0,0,0,,1.212832,0.087185,0.000000,-0.000000,-0.041395,0.000000,-0.012476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537241.011081,226,23,0.999964,0.161638,0.999964,0.323277,2.905347,2.401441,0.575391,-0.236363,1.000333,0.297929,1000.000000,0,0,0,,1.228561,0.088097,0.000000,-0.000000,-0.014896,0.000000,-0.011468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537241.199122,226,24,0.999435,-0.279962,0.999435,-0.559923,3.018406,2.553518,0.391396,-0.246127,0.997081,-0.516995,1000.000000,0,0,0,,1.219448,0.091997,0.000000,-0.000000,-0.025850,0.000000,-0.008837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537241.379128,226,25,0.995746,-0.752705,0.995746,-1.505410,3.145280,2.675339,0.218087,-0.096215,0.973892,-1.505184,1000.000000,1,1,0,success,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537241.811530,227,1,0.995830,-0.785670,0.995830,-1.571340,0.025895,-0.000296,3.476180,-2.287837,0.384199,-0.025565,1000.000000,0,0,0,,-0.554673,-0.007613,0.000000,-0.000000,-0.001278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
